priority,satisfaction
industry,6
diversity,1
industry,4
departament,5
departament,4
profDevelopment,4
departament,5
compensations,6
diversity,3
departament,5
departament,4
departament,6
impactful,4
industry,2
diversity,2
profDevelopment,5
industry,5
culture,6
impactful,4
culture,4
departament,0
departament,1
departament,5
departament,6
departament,2
tecnologies,3
industry,4
compensations,6
workFremotely,2
departament,4
financialPerf,5
departament,5
profDevelopment,5
departament,4
departament,5
diversity,3
financialPerf,2
diversity,3
financialPerf,4
financialPerf,5
industry,2
culture,1
diversity,2
departament,3
diversity,5
industry,5
departament,4
compensations,5
impactful,2
impactful,5
compensations,5
industry,5
financialPerf,6
culture,3
departament,3
departament,5
industry,5
profDevelopment,4
profDevelopment,5
impactful,2
financialPerf,4
profDevelopment,6
departament,5
financialPerf,5
financialPerf,5
profDevelopment,4
culture,5
financialPerf,6
industry,4
diversity,5
workFremotely,5
profDevelopment,6
industry,2
profDevelopment,5
departament,5
departament,5
financialPerf,4
culture,4
compensations,5
financialPerf,5
industry,6
diversity,4
profDevelopment,2
compensations,6
culture,3
tecnologies,5
culture,3
impactful,4
compensations,6
profDevelopment,5
tecnologies,5
tecnologies,6
compensations,4
tecnologies,5
departament,3
departament,4
industry,6
compensations,5
impactful,6
departament,6
diversity,6
departament,4
profDevelopment,6
compensations,2
impactful,5
departament,6
industry,5
departament,2
departament,5
departament,5
financialPerf,6
profDevelopment,2
departament,3
industry,2
industry,4
departament,6
departament,4
compensations,4
tecnologies,2
financialPerf,1
impactful,6
diversity,2
financialPerf,5
industry,0
diversity,5
financialPerf,5
departament,5
profDevelopment,3
impactful,5
culture,2
diversity,5
profDevelopment,6
departament,4
impactful,2
profDevelopment,5
departament,6
tecnologies,5
industry,1
profDevelopment,6
impactful,1
culture,6
industry,5
industry,1
culture,1
workFremotely,5
departament,1
impactful,5
industry,4
diversity,0
departament,5
financialPerf,1
culture,5
tecnologies,5
profDevelopment,3
departament,3
profDevelopment,4
departament,2
tecnologies,4
industry,5
impactful,6
profDevelopment,4
departament,1
financialPerf,5
departament,2
financialPerf,6
tecnologies,2
tecnologies,6
compensations,5
profDevelopment,2
impactful,6
tecnologies,2
profDevelopment,0
industry,5
industry,5
compensations,5
profDevelopment,6
departament,6
departament,5
compensations,5
industry,6
industry,5
diversity,6
profDevelopment,2
departament,1
diversity,6
culture,2
financialPerf,3
profDevelopment,0
impactful,6
diversity,1
industry,5
industry,2
profDevelopment,6
financialPerf,5
impactful,3
departament,5
compensations,5
departament,3
impactful,5
impactful,5
departament,2
departament,6
financialPerf,6
compensations,5
financialPerf,5
industry,5
profDevelopment,2
culture,1
tecnologies,2
departament,0
profDevelopment,2
diversity,2
industry,5
financialPerf,5
compensations,4
industry,5
culture,5
profDevelopment,5
industry,5
industry,5
financialPerf,6
financialPerf,2
departament,5
industry,6
departament,6
departament,5
industry,6
departament,5
impactful,5
industry,2
departament,4
departament,4
impactful,2
financialPerf,2
departament,2
industry,6
profDevelopment,5
industry,1
tecnologies,6
profDevelopment,1
industry,6
financialPerf,6
industry,1
departament,2
financialPerf,5
departament,1
culture,5
industry,5
financialPerf,4
financialPerf,2
