priority,satisfaction
financialPerf,4
industry,4
financialPerf,5
departament,0
industry,5
profDevelop,5
profDevelop,5
departament,5
industry,6
impactful,6
profDevelop,3
compensations,4
profDevelop,6
impactful,5
financialPerf,6
profDevelop,1
departament,5
impactful,2
departament,4
departament,5
industry,2
profDevelop,2
impactful,5
financialPerf,6
impactful,4
profDevelop,2
impactful,5
departament,5
compensations,4
industry,1
profDevelop,5
compensations,6
industry,5
profDevelop,1
profDevelop,2
industry,5
financialPerf,5
profDevelop,0
financialPerf,0
departament,1
industry,4
industry,2
impactful,5
diversity,5
financialPerf,5
impactful,5
diversity,6
profDevelop,5
profDevelop,6
financialPerf,5
financialPerf,2
compensations,5
impactful,5
impactful,4
profDevelop,6
profDevelop,2
industry,6
financialPerf,5
profDevelop,5
profDevelop,4
diversity,5
industry,5
departament,2
impactful,5
diversity,1
impactful,1
industry,3
departament,4
industry,2
industry,1
departament,1
diversity,4
departament,1
departament,2
impactful,5
financialPerf,5
departament,3
departament,6
financialPerf,5
industry,5
departament,5
compensations,5
financialPerf,6
industry,4
profDevelop,2
tecnologies,5
impactful,5
departament,1
financialPerf,6
financialPerf,1
industry,0
profDevelop,6
departament,6
tecnologies,3
profDevelop,4
departament,3
profDevelop,5
financialPerf,4
departament,6
industry,0
departament,2
workRemot,6
impactful,5
profDevelop,5
impactful,4
profDevelop,4
impactful,2
financialPerf,6
profDevelop,6
profDevelop,4
diversity,5
profDevelop,1
profDevelop,2
impactful,1
financialPerf,5
financialPerf,4
financialPerf,1
financialPerf,4
profDevelop,2
departament,3
profDevelop,5
departament,5
profDevelop,2
profDevelop,2
impactful,2
profDevelop,4
financialPerf,1
financialPerf,3
impactful,5
impactful,4
departament,1
culture,5
profDevelop,5
departament,0
financialPerf,1
industry,2
industry,5
compensations,4
departament,6
departament,4
departament,1
profDevelop,5
profDevelop,2
tecnologies,1
financialPerf,6
profDevelop,5
workRemot,5
diversity,5
financialPerf,5
departament,4
impactful,6
profDevelop,4
industry,6
departament,5
tecnologies,6
departament,1
departament,5
financialPerf,4
financialPerf,2
profDevelop,5
profDevelop,4
financialPerf,4
culture,5
financialPerf,0
industry,4
financialPerf,4
industry,5
workRemot,2
departament,5
compensations,1
profDevelop,6
financialPerf,6
departament,4
industry,6
workRemot,2
profDevelop,1
impactful,5
impactful,3
departament,5
financialPerf,6
industry,6
profDevelop,5
compensations,6
compensations,5
industry,1
financialPerf,2
financialPerf,5
profDevelop,3
industry,1
departament,6
profDevelop,1
impactful,5
compensations,5
departament,4
impactful,0
departament,3
compensations,4
financialPerf,5
profDevelop,5
industry,4
impactful,5
profDevelop,1
compensations,5
departament,6
compensations,5
financialPerf,1
tecnologies,0
industry,0
impactful,5
financialPerf,5
financialPerf,4
departament,5
financialPerf,0
financialPerf,4
departament,6
profDevelop,1
financialPerf,4
impactful,4
departament,4
profDevelop,1
diversity,6
profDevelop,5
industry,6
departament,2
financialPerf,4
workRemot,6
industry,4
profDevelop,0
departament,3
financialPerf,2
profDevelop,5
departament,4
profDevelop,6
departament,5
compensations,6
industry,5
financialPerf,6
profDevelop,4
diversity,2
profDevelop,5
impactful,5
departament,6
diversity,6
financialPerf,2
departament,4
impactful,5
departament,4
impactful,4
profDevelop,5
industry,2
financialPerf,5
tecnologies,1
profDevelop,6
profDevelop,1
compensations,5
departament,1
impactful,6
impactful,2
profDevelop,2
impactful,5
financialPerf,5
profDevelop,3
profDevelop,4
departament,5
industry,5
financialPerf,5
profDevelop,4
impactful,5
profDevelop,5
profDevelop,2
industry,1
departament,6
financialPerf,5
industry,5
departament,4
departament,2
financialPerf,5
profDevelop,6
impactful,5
departament,4
impactful,3
tecnologies,5
departament,5
culture,1
profDevelop,5
workRemot,1
departament,5
industry,2
financialPerf,4
financialPerf,2
