comparison,diff,lwr,upr,p
culture-diversity,-0.662337662,-1.7482814,0.4236061,0.6467063
tecnologies-diversity,-0.666883117,-1.7868468,0.4530805,0.6782508
industry-diversity,-0.408340403,-1.1795439,0.3628631,0.8081569
departament-diversity,-0.339105339,-1.0905774,0.4123667,0.9179368
financialPerf-diversity,-0.335223728,-1.0922030,0.4217555,0.9264676
impactful-diversity,-0.064996324,-0.8295747,0.6995820,0.9999999
profDevelop-diversity,-0.442597403,-1.1659015,0.2807067,0.6423090
workRemot-diversity,-0.254814151,-1.5067871,0.9971588,0.9997538
compensations-diversity,-0.106244819,-0.9894775,0.7769879,0.9999972
tecnologies-culture,-0.004545455,-1.2599095,1.2508185,1.0000000
industry-culture,0.253997259,-0.7032775,1.2112720,0.9979219
departament-culture,0.323232323,-0.6182189,1.2646836,0.9859035
financialPerf-culture,0.327113934,-0.6187390,1.2729668,0.9851663
impactful-culture,0.597341338,-0.3546041,1.5492868,0.6075482
profDevelop-culture,0.219740260,-0.6993837,1.1388643,0.9990871
workRemot-culture,0.407523511,-0.9669059,1.7819530,0.9951442
compensations-culture,0.556092843,-0.4935357,1.6057214,0.8076076
industry-tecnologies,0.258542714,-0.7371579,1.2542433,0.9982445
departament-tecnologies,0.327777778,-0.6527196,1.3082752,0.9883260
financialPerf-tecnologies,0.331659389,-0.6530652,1.3163839,0.9876897
impactful-tecnologies,0.601886792,-0.3886913,1.5924649,0.6517853
profDevelop-tecnologies,0.224285714,-0.7347939,1.1833653,0.9992352
workRemot-tecnologies,0.412068966,-0.9893949,1.8135329,0.9954404
compensations-tecnologies,0.560638298,-0.5241496,1.6454262,0.8295764
departament-industry,0.069235064,-0.4801386,0.6186087,0.9999959
financialPerf-industry,0.073116675,-0.4837663,0.6299997,0.9999941
impactful-industry,0.343344079,-0.2238253,0.9105135,0.6567162
profDevelop-industry,-0.034256999,-0.5444235,0.4759095,1.0000000
workRemot-industry,0.153526252,-0.9886372,1.2956897,0.9999928
compensations-industry,0.302095584,-0.4170713,1.0212625,0.9465022
financialPerf-departament,0.003881611,-0.5253387,0.5331019,1.0000000
impactful-departament,0.274109015,-0.2659248,0.8141429,0.8443533
profDevelop-departament,-0.103492063,-0.5833101,0.3763259,0.9996031
workRemot-departament,0.084291188,-1.0446431,1.2132255,1.0000000
compensations-departament,0.232860520,-0.4651054,0.9308265,0.9884916
impactful-financialPerf,0.270227404,-0.2774439,0.8178987,0.8655572
profDevelop-financialPerf,-0.107373674,-0.5957717,0.3810243,0.9995362
workRemot-financialPerf,0.080409577,-1.0521980,1.2130172,1.0000000
compensations-financialPerf,0.228978909,-0.4749130,0.9328708,0.9903976
profDevelop-impactful,-0.377601078,-0.8776961,0.1224940,0.3310046
workRemot-impactful,-0.189817827,-1.3275183,0.9478827,0.9999536
compensations-impactful,-0.041248495,-0.7533062,0.6708093,1.0000000
workRemot-profDevelop,0.187783251,-0.9226001,1.2981666,0.9999479
compensations-profDevelop,0.336352584,-0.3311914,1.0038966,0.8500805
compensations-workRemot,0.148569332,-1.0720380,1.3691767,0.9999969
